"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees<sup>*</sup>","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations<sup>**</sup>","Total refugees and people in refugee-like situations assisted by UNHCR"
"Ecuador","Lebanon","2001","1","","1",""
"Finland","Lebanon","2001","23","","23",""
"France","Lebanon","2001","74","","74",""
"Greece","Lebanon","2001","23","","23",""
"Hungary","Lebanon","2001","3","","3",""
"Iceland","Lebanon","2001","1","","1",""
"Ireland","Lebanon","2001","2","","2",""
"Israel","Lebanon","2001","3909","","3909",""
"Italy","Lebanon","2001","31","","31",""
"Liberia","Lebanon","2001","12","","12",""
"Mexico","Lebanon","2001","2","","2",""
"Netherlands","Lebanon","2001","325","","325",""
"New Zealand","Lebanon","2001","2","","2",""
"Norway","Lebanon","2001","52","","52",""
"Poland","Lebanon","2001","17","","17",""
"Romania","Lebanon","2001","1","1","1","1"
"Spain","Lebanon","2001","2","","2",""
"Sweden","Lebanon","2001","1201","","1201",""
"Switzerland","Lebanon","2001","64","","64",""
"Turkey","Lebanon","2001","1","1","1","1"
"Ukraine","Lebanon","2001","2","","2",""
"United Kingdom","Lebanon","2001","1130","","1130",""
"United States","Lebanon","2001","469","","469",""
"Argentina","Lebanon","2000","3","","3",""
"Australia","Lebanon","2000","415","","415",""
"Austria","Lebanon","2000","58","","58",""
"Belgium","Lebanon","2000","88","","88",""
"Brazil","Lebanon","2000","23","","23",""
"Bulgaria","Lebanon","2000","8","","8",""
"Canada","Lebanon","2000","548","","548",""
"Denmark","Lebanon","2000","373","","373",""
"Finland","Lebanon","2000","23","","23",""
"France","Lebanon","2000","70","","70",""
"Greece","Lebanon","2000","22","31","22","31"
"Hungary","Lebanon","2000","2","","2",""
"Iceland","Lebanon","2000","1","","1",""
"Israel","Lebanon","2000","3909","","3909",""
"Italy","Lebanon","2000","28","","28",""
"Liberia","Lebanon","2000","12","","12",""
"Malta","Lebanon","2000","5","","5",""
"Mexico","Lebanon","2000","2","2","2","2"
"Netherlands","Lebanon","2000","352","","352",""
"Norway","Lebanon","2000","173","","173",""
"Poland","Lebanon","2000","16","","16",""
"Romania","Lebanon","2000","1","1","1","1"
"Spain","Lebanon","2000","2","","2",""
"Sweden","Lebanon","2000","2328","","2328",""
"Switzerland","Lebanon","2000","60","","60",""
"Syrian Arab Rep.","Lebanon","2000","1","1","1","1"
"United Kingdom","Lebanon","2000","1245","","1245",""
"United States","Lebanon","2000","447","","447",""
"Argentina","Lebanon","1999","3","","3",""
"Australia","Lebanon","1999","414","","414",""
"Austria","Lebanon","1999","57","","57",""
"Belgium","Lebanon","1999","118","","118",""
"Brazil","Lebanon","1999","23","6","23","6"
"Bulgaria","Lebanon","1999","4","","4",""
"Canada","Lebanon","1999","596","","596",""
"Cyprus","Lebanon","1999","2","2","2","2"
"Denmark","Lebanon","1999","541","","541",""
"Finland","Lebanon","1999","27","","27",""
"France","Lebanon","1999","81","","81",""
"Hungary","Lebanon","1999","2","","2",""
"Iceland","Lebanon","1999","1","","1",""
"Ireland","Lebanon","1999","1","","1",""
"Italy","Lebanon","1999","27","","27",""
"Liberia","Lebanon","1999","12","","12",""
"Mexico","Lebanon","1999","2","2","2","2"
"Netherlands","Lebanon","1999","360","","360",""
"Norway","Lebanon","1999","234","","234",""
"Poland","Lebanon","1999","16","","16",""
"Spain","Lebanon","1999","2","","2",""
"Sri Lanka","Lebanon","1999","1","1","1","1"
"Sweden","Lebanon","1999","3192","","3192",""
"Switzerland","Lebanon","1999","63","","63",""
"Syrian Arab Rep.","Lebanon","1999","6","6","6","6"
"United Kingdom","Lebanon","1999","1430","","1430",""
"United States","Lebanon","1999","470","","470",""
"Argentina","Lebanon","1998","3","","3",""
"Australia","Lebanon","1998","380","","380",""
"Austria","Lebanon","1998","57","","57",""
"Belgium","Lebanon","1998","124","","124",""
"Brazil","Lebanon","1998","25","","25",""
"Bulgaria","Lebanon","1998","4","","4",""
"Canada","Lebanon","1998","723","","723",""
"Cyprus","Lebanon","1998","2","","2",""
"Denmark","Lebanon","1998","445","","445",""
"Finland","Lebanon","1998","27","","27",""
"France","Lebanon","1998","84","","84",""
"Iceland","Lebanon","1998","1","","1",""
"Italy","Lebanon","1998","61","","61",""
"Liberia","Lebanon","1998","12","","12",""
"Libya","Lebanon","1998","5","","5",""
"Malta","Lebanon","1998","2","","2",""
"Netherlands","Lebanon","1998","388","","388",""
"Norway","Lebanon","1998","210","","210",""
"Poland","Lebanon","1998","14","","14",""
"Spain","Lebanon","1998","2","","2",""
"Sri Lanka","Lebanon","1998","1","","1",""
"Sweden","Lebanon","1998","5069","","5069",""
"Switzerland","Lebanon","1998","20","","20",""
"Syrian Arab Rep.","Lebanon","1998","4","","4",""
"Ukraine","Lebanon","1998","22","","22",""
"United Kingdom","Lebanon","1998","1635","","1635",""
"United States","Lebanon","1998","466","","466",""
"Australia","Lebanon","1997","84","","84",""
"Belgium","Lebanon","1997","177","","177",""
"Brazil","Lebanon","1997","19","","19",""
"Canada","Lebanon","1997","932","","932",""
"Cyprus","Lebanon","1997","2","","2",""
"Denmark","Lebanon","1997","577","","577",""
"France","Lebanon","1997","75","","75",""
"Iceland","Lebanon","1997","1","","1",""
"Italy","Lebanon","1997","71","","71",""
"Liberia","Lebanon","1997","12","","12",""
"Libya","Lebanon","1997","5","","5",""
"Malta","Lebanon","1997","1","","1",""
"Netherlands","Lebanon","1997","386","","386",""
"Norway","Lebanon","1997","206","","206",""
"Philippines","Lebanon","1997","1","","1",""
"Poland","Lebanon","1997","14","","14",""
"Spain","Lebanon","1997","2","","2",""
"Swaziland","Lebanon","1997","6","","6",""
"Sweden","Lebanon","1997","5483","","5483",""
"Switzerland","Lebanon","1997","54","","54",""
"Ukraine","Lebanon","1997","21","","21",""
"United Kingdom","Lebanon","1997","1668","","1668",""
"United States","Lebanon","1997","438","","438",""
"Australia","Lebanon","1996","78","","78",""
"Belgium","Lebanon","1996","177","","177",""
"Brazil","Lebanon","1996","18","","18",""
"Bulgaria","Lebanon","1996","13","","13",""
"Canada","Lebanon","1996","1274","","1274",""
"Denmark","Lebanon","1996","1070","","1070",""
"France","Lebanon","1996","74","","74",""
"Italy","Lebanon","1996","69","","69",""
"Liberia","Lebanon","1996","12","","12",""
"Malta","Lebanon","1996","1","","1",""
"Netherlands","Lebanon","1996","343","","343",""
"Spain","Lebanon","1996","1","","1",""
"Sweden","Lebanon","1996","5648","","5648",""
"Ukraine","Lebanon","1996","17","","17",""
"United Kingdom","Lebanon","1996","1645","","1645",""
"United States","Lebanon","1996","450","","450",""
"Brazil","Lebanon","1995","19","","19",""
"Bulgaria","Lebanon","1995","9","","9",""
"Canada","Lebanon","1995","3177","","3177",""
"Denmark","Lebanon","1995","1763","","1763",""
"France","Lebanon","1995","71","","71",""
"Italy","Lebanon","1995","68","","68",""
"Liberia","Lebanon","1995","13","","13",""
"Malta","Lebanon","1995","1","","1",""
"Netherlands","Lebanon","1995","294","","294",""
"Spain","Lebanon","1995","1","","1",""
"Sweden","Lebanon","1995","6125","","6125",""
"United Kingdom","Lebanon","1995","1551","","1551",""
"United States","Lebanon","1995","423","","423",""
"Bulgaria","Lebanon","1994","1","","1",""
"Canada","Lebanon","1994","5298","","5298",""
"Denmark","Lebanon","1994","1763","","1763",""
"Greece","Lebanon","1994","21","","21",""
"Hungary","Lebanon","1994","1","","1",""
"Italy","Lebanon","1994","68","","68",""
"Liberia","Lebanon","1994","16","","16",""
"Netherlands","Lebanon","1994","264","","264",""
"Nigeria","Lebanon","1994","1","","1",""
"Spain","Lebanon","1994","1","","1",""
"Sweden","Lebanon","1994","6284","","6284",""
"United Kingdom","Lebanon","1994","1545","","1545",""
"United States","Lebanon","1994","390","","390",""
"Venezuela (Bolivarian Republic of)","Lebanon","1994","1","","1",""
"Bulgaria","Lebanon","1993","1","","1",""
"Denmark","Lebanon","1993","1763","","1763",""
"Greece","Lebanon","1993","6","","6",""
"Hungary","Lebanon","1993","1","","1",""
"Italy","Lebanon","1993","66","","66",""
"Liberia","Lebanon","1993","16","","16",""
"Netherlands","Lebanon","1993","252","","252",""
"Nigeria","Lebanon","1993","1","","1",""
"Spain","Lebanon","1993","1","","1",""
"Sweden","Lebanon","1993","6624","","6624",""
"United Kingdom","Lebanon","1993","1527","","1527",""
"United States","Lebanon","1993","375","","375",""
"Venezuela (Bolivarian Republic of)","Lebanon","1993","1","","1",""
"Zimbabwe","Lebanon","1993","1","","1",""
"Denmark","Lebanon","1992","1741","","1741",""
"Italy","Lebanon","1992","66","","66",""
"Netherlands","Lebanon","1992","252","","252",""
"Sweden","Lebanon","1992","6575","","6575",""
"United Kingdom","Lebanon","1992","1240","","1240",""
"United States","Lebanon","1992","383","","383",""
"Denmark","Lebanon","1991","1679","","1679",""
"Italy","Lebanon","1991","59","","59",""
"Sweden","Lebanon","1991","5807","","5807",""
"United Kingdom","Lebanon","1991","606","","606",""
"United States","Lebanon","1991","350","","350",""
"Denmark","Lebanon","1990","1547","","1547",""
"Italy","Lebanon","1990","51","","51",""
"Sweden","Lebanon","1990","4616","","4616",""
"United Kingdom","Lebanon","1990","492","","492",""
"United States","Lebanon","1990","287","","287",""
"Denmark","Lebanon","1989","1376","","1376",""
"Greece","Lebanon","1989","230","","230",""
"Italy","Lebanon","1989","51","","51",""
"United Kingdom","Lebanon","1989","312","","312",""
"United States","Lebanon","1989","228","","228",""
"Greece","Lebanon","1988","150","","150",""
"Italy","Lebanon","1988","10","","10",""
"United Kingdom","Lebanon","1988","108","","108",""
"United States","Lebanon","1988","171","","171",""
"Syrian Arab Rep.","Lebanon","1986","630","","630",""
"Greece","Lebanon","1985","60","","60",""
"Syrian Arab Rep.","Lebanon","1985","33080","","33080",""
"Greece","Lebanon","1984","60","","60",""
"Syrian Arab Rep.","Lebanon","1984","30000","","30000",""
"Greece","Lebanon","1983","90","","90",""
"Syrian Arab Rep.","Lebanon","1983","27180","","27180",""
"Greece","Lebanon","1982","90","","90",""
"Syrian Arab Rep.","Lebanon","1982","12500","","12500",""

"fnSeqID","Footnote"
"*","Persons recognized as refugees under the 1951 UN Convention/1967 Protocol, the 1969 OAU Convention, in accordance with the UNHCR Statute, persons granted a complementary form of protection and those granted temporary protection. In the absence of Government estimates, UNHCR has estimated the refugee population in 24 industrialized countries based on 10 years of individual refugee recognition."
"**","The category of people in refugee-like situations is descriptive in nature and includes groups of persons who are outside their country or territory of origin and who face protection risks similar to those of refugees, but for whom refugee status has, for practical or other reasons, not been ascertained."
